username,handle,full_text,time,cleaned_tweet,translated_tweet,textblob_sentiment
"Nani Rudiat
@Nani_Indrayanii
·
Apr 8, 2013",,Mkan #INDOMIE dlue..,2013-04-08T05:30:36.000Z,mkan indomie dlue,Eat Indomie Blue,neutral
"a n i t a
@anitatambak
·
Apr 2, 2013",,#indomie #instan #enak #halal coba semuanya seperti ini >>>:),2013-04-02T12:26:49.000Z,indomie instan enak halal coba,Try halal delicious instant indomie,positive
"Bayuwega
@Bayu_Wega
·
Mar 25, 2013",,Mak prepet.. Njuk ngelih.. #indomie,2013-03-24T16:35:03.000Z,mak prepet njuk ngelih indomie,Mak Prepet is looking for Indomie,neutral
"Permata Sari Harahap
@aipermatash
·
Apr 4, 2013",,"Astaga! Gw jg mau kl gt ""
@djfarezki
: OK, gratis #prewedding #Singapore tukar dengan #indomie goreng ditutup… tunggu gratisan selanjutnya",2013-04-04T06:58:02.000Z,astaga gw jg kl gt djfarezki ok gratis prewedding singapore tukar indomie goreng ditutup tunggu gratisan,oh my gosh I'm also kl gt djfarezki ok free prewedding singapore exchange for fried indomie closed waiting for free,positive
"͂ ̷̐ ̈́ ̈́ ͂Unknown
@cmc_comrade0SS
·
Jan 24, 2013",,Bismillah #Indomie on point,2013-01-24T02:38:26.000Z,bismillah indomie on point,Bismillah Indomie on point,neutral
username,handle,content,time,content,content,neutral
"Luluk S. Arwati
@Luluksiskaa
·
Jan 18, 2013",,"hahaa bikin gih bikin :p RT @myql_rivando13: Gara2 tweet ini, gw jadi pengen makan #indomie RT  ""Lulugsiskaa: indomi .seleraku ^^""",2013-01-18T14:41:41.000Z,hahaa bikin gih bikin p rt myql rivando13 gara2 tweet gw pengen makan indomie rt lulugsiskaa indomi seleraku,hahaa make me make p rt myql rivando13 because of tweets I want to eat indomie rt lulugsiskaa indomi my taste,neutral
"Daud Hardjakusumah
@sidaut
·
Jan 27, 2013",,"Orang lalu lalang diluar & di toko, depan apartment, remaja & dewasa, sambil berdiri semua makan POPMIE  #kuwait #indomie",2013-01-27T07:22:08.000Z,orang lalang diluar toko apartment remaja dewasa berdiri makan popmie kuwait indomie,"people passing by outside the apartment shop, young adults standing eating Kuwaiti Indomie popmies",positive
"Mahda Berhard Tisari
@mahdatsr
·
Feb 7, 2013",, #indomie .... seleraku ...... #instagram #instapad #instaphoto #instago #instagood #instamood… http://instagr.am/p/Vai-5FPyWQ/,2013-02-07T03:33:57.000Z,indomie seleraku instagram instapad instaphoto instago instagood instamood,indomie my taste instagram instapad instaphoto instago instagood instamood,neutral
"Arief Setiawan
@AriefSetiawanID
·
Jan 24, 2013",,Katanya ga boleh banyak2 makan #indomie ya? Baiklah.. *AmbilSupermi,2013-01-23T23:35:06.000Z,ga banyak2 makan indomie ya baiklah ambilsupermi,"I don't eat much Indomie, so take supermi",positive
"Janiati ~ 赖锈芳
@fang_jani
·
Feb 2, 2013",,"Pulsa sekarat, hp lowbat, nasi blm dimasak, dompet kere.. Lengkap banget hari ini teledornya.. #indomie menemaniku seharian dah.",2013-02-02T02:54:09.000Z,pulsa sekarat hp lowbat nasi blm dimasak dompet kere lengkap banget teledornya indomie menemaniku seharian dah,"My phone credit is dying, my cellphone is low, my rice hasn't been cooked, my wallet is really cool, very careless, Indomie accompanies me all day",negative
"Dharu Kusuma Hady
@dharukusumahady
·
Feb 6, 2013",,Abis 'ngemil' #Indomie Ayam Bawang pake telor ½ mateng...Dipedesin pula! Keringet pun meluncur deras...,2013-02-06T04:16:48.000Z,abis ngemil indomie ayam bawang pake telor mateng dipedesin keringet meluncur deras,"After snacking on Indomie chicken with onions using cooked egg and spices, the sweat started to flow profusely",negative
"Dharu Kusuma Hady
@dharukusumahady
·
Feb 9, 2013",,"Bangun tidur, prepare buat kerja...Panasin aer buat teh, siapin #Indomie buat sarapan, & saatnya mandi...",2013-02-08T19:09:29.000Z,bangun tidur prepare kerja panasin aer teh siapin indomie sarapan mandi,"Wake up, prepare for work, heat the tea, prepare Indomie breakfast, take a shower",neutral
"Dharu Kusuma Hady
@dharukusumahady
·
Feb 9, 2013",,"Duh, ternyata ini adalah #Indomie & telor terakhir di mini kitchen saya...Pulang kerja harus belanja dulu nih kayaknya...",2013-02-08T19:29:32.000Z,duh indomie telor mini kitchen pulang kerja belanja nih kayaknya,"Wow, I think Indomie Telor Mini Kitchen is coming home from work and shopping",positive
"Bernadeta Karina
@karinabernadeta
·
Jan 18, 2013",,"wakawakakk 
@tifanymargaret
 #indomie",2013-01-18T14:04:33.000Z,wakawakakk tifanymargaret indomie,waka waka kk tiffany margaret indomie,neutral
"Andri Mirandi
@AndriMirandi
·
Feb 4, 2013",,Kl udah jam 10 malem dan bingung makan dimana... yg pasti2 aja ke kedai #indomie,2013-02-04T15:44:25.000Z,kl udah jam 10 malem bingung makan dimana yg pasti2 aja kedai indomie,"When it's already 10 pm, I'm confused about where to eat, but it's definitely an Indomie shop",negative
"Dhado Roshado
@dhado
·
Feb 6, 2013",,"10 tahun kemudian, stroke, asam urat, diabetes, :)) RT 
@yuwanariestiyan
: Guilty pleasure!! #indomie #tengahmalam",2013-02-05T17:58:30.000Z,10 stroke asam urat diabetes rt yuwanariestiyan guilty pleasure indomie tengahmalam,10 strokes gout diabetes rt yuwanariestiyan guilty pleasure indomie midnight,negative
"PytByt
@pytbyt
·
Jan 18, 2013",,Makan #indomie goreng pake telur rebus kayak nya enak nih (ˆڡˆ),2013-01-18T12:15:20.000Z,makan indomie goreng pake telur rebus kayak nya enak nih,Eating fried Indomie with boiled egg looks delicious,positive
"Fiyinfoluwa Olajolo
@fiyinolajolo
·
Dec 15, 2012",,"Lol""@Omotdamsel: O ta lenu!!!> #indomie 50 #atagigun 200""",2012-12-15T10:28:07.000Z,lol omotdamsel o ta lenu indomie 50 atagigun 200,lol omotdamsel o ta lenu indomie 50 atagigun 200,positive
"Gmontadaro
@Gmontadaro
·
Dec 16, 2012",,Sarapan pagi #Indomie Cabe Ijo plus pangsit ... Perfect blend :)),2012-12-16T02:49:49.000Z,sarapan pagi indomie cabe ijo plus pangsit perfect blend,Indomie green chili breakfast plus perfect blend dumplings,positive
"Laura Lauw
@sixoura
·
Dec 11, 2012",,"ijo, pedas, hot, apa ayooo? #green #spicy #hot #noodle #indomie #new #try #20likes #50likes #l4l #like4like http://instagr.am/p/TFtrk6y1qU/",2012-12-11T08:21:17.000Z,ijo pedas hot ayooo green spicy hot noodle indomie new try 20likes 50likes l4l like4like,ijo spicy hot ayooo green spicy hot noodle indomie new try 20 likes 50 likes l4l like4like,positive
"AnakMudaMasaKinih
@gogogaia
·
Nov 21, 2012",,#Lunch @ kosan #indomie #bukan http://instagr.am/p/1nd0m13,2012-11-21T05:29:42.000Z,lunch kosan indomie,Indomie boarding house lunch,neutral
username,handle,content,time,content,content,neutral
"Laura Lauw
@sixoura
·
Dec 11, 2012",,"ijo, pedas, hot, apa ayooo? #green #spicy #hot #noodle #indomie #new #try #20likes #50likes #l4l #like4like http://instagr.am/p/TFtrk6y1qU/",2012-12-11T08:21:17.000Z,ijo pedas hot ayooo green spicy hot noodle indomie new try 20likes 50likes l4l like4like,ijo spicy hot ayooo green spicy hot noodle indomie new try 20 likes 50 likes l4l like4like,positive
"AnakMudaMasaKinih
@gogogaia
·
Nov 21, 2012",,#Lunch @ kosan #indomie #bukan http://instagr.am/p/1nd0m13,2012-11-21T05:29:42.000Z,lunch kosan indomie,Indomie boarding house lunch,neutral
"Natalia Astrid
@nataliaastrid
·
Dec 30, 2012",,"sarapan nikmat :9 
@yosefkristiano
 #instagram #instafood #culinary #breakfast #indomie #miecabeijo http://instagr.am/p/T1gefJDwcv/",2012-12-29T21:49:31.000Z,sarapan nikmat 9 yosefkristiano instagram instafood culinary breakfast indomie miecabeijo,delicious breakfast 9 yosefkristiano instagram instafood culinary breakfast indomie miecabeijo,positive
"BOSS
@mubyZainawa
·
Dec 16, 2012",,"#indomie da kuai.....Wai!!,zaki shaa Chi",2012-12-15T19:39:05.000Z,indomie da kuai wai zaki shaa chi,indomie da kuai wai zaki shaa chi,neutral
"Dharu Kusuma Hady
@dharukusumahady
·
Dec 20, 2012",,"Menu sarapan hari ini bener² representasi isi kantong saya...Semangkuk #Indomie rasa ayam (tidak) spesial...Polos, tanpa telur or sayuran!",2012-12-20T00:52:45.000Z,menu sarapan bener representasi isi kantong semangkuk indomie ayam spesial polo telur or sayuran,"The breakfast menu really represents the contents of a bowl of special chicken Indomie, polo, eggs or vegetables",negative
"Yessi Surya Budhi
@yessi134
·
Dec 25, 2012",,"Cukup sekali ah, nyobain #Indomie Cabe Ijo. Takut rasanya bikin galau :)))",2012-12-25T03:20:27.000Z,ah nyobain indomie cabe ijo takut bikin galau,"Ah, try Indomie chili greens, I'm afraid it will make you confused",negative
"Dharu Kusuma Hady
@dharukusumahady
·
Dec 20, 2012",,"Varian #Indomie paling enak versi gw masih Mie Celor & Soto Banjar! RT 
@putrategar2709
: Iya yaa warnanya ijo begitu. Gak menggugah selera :D",2012-12-20T04:49:57.000Z,varian indomie enak versi gw mie celor soto banjar rt putrategar2709 iya yaa warnanya ijo gak menggugah selera d,"My version of the delicious Indomie variant is Mie Celor Soto Banjar RT Putrategar2709 Yes, the color is green, not appetizing",positive
"Nana Gyan
@Yahmeezy
·
Dec 12, 2012",,"kitsewaaa biara nnsua RT 
@Aquozuah
: lol...ahiaa? RT @dat_VALCO_gee: i c already #indomie an tinz RT 
@Aquozuah
: nuh bhadd.....",2012-12-12T14:25:40.000Z,kitsewaaa biara nnsua rt aquozuah lol ahiaa rt dat valco gee i c already indomie an tinz rt aquozuah nuh bhadd,kitsewaaa monastery nnsua rt aquozuah lol ahiaa rt dat valco gee i c already indomie an tinz rt aquozuah nuh bhadd,positive
"A D H I E
@adhiemf
·
Dec 18, 2012",,Cuma beda warna dan rasa nya pun agak sedikit beda #indomie,2012-12-18T10:11:27.000Z,beda warna nya beda indomie,"different colors, different Indomie",neutral
"Alvina R Yowantri
@alvinary
·
Dec 7, 2012",,ijo mantap hot. apa ayo? INDOMIE GORENG CABE IJO #iklan #indomie :),2012-12-07T04:57:25.000Z,ijo mantap hot ayo indomie goreng cabe ijo iklan indomie,"Green, delicious, hot, come on, Indomie fried green chili, Indomie advertisement",positive
"Zico Fernando
@ZicoFernando
·
Dec 15, 2012",,"Chit-chat with 
@JeungWoRo
 soal #indomie , jadi ngileeerr.. *After rain, here comes indomie kuah*",2012-12-15T05:20:47.000Z,chit chat with jeungworo indomie ngileeerr after rain here come indomie kuah,chit chat with jeungworo indomie ngileeerr after rain here comes indomie kuah,neutral
"Astari Ratnadya
@astarianadya
·
Dec 17, 2012",,#Indomie #mie #food #Indonesia #instandroid #instaindonesia #seleraku  Indomie Seleraku http://instagr.am/p/TUcq1dr0Er/,2012-12-17T01:39:33.000Z,indomie mie food indonesia instandroid instaindonesia seleraku indomie seleraku,Indomie Mie Food Indonesia Instandroid Instaindonesia my taste Indomie my taste,neutral
"Lidwina Marcella
@cellacea
·
Dec 31, 2012",,#indomie itu tidak dpt ditolak!,2012-12-31T08:26:53.000Z,indomie dpt ditolak,Indomie can be rejected,neutral
"Jiewa Vieri
@inijie
·
Dec 18, 2012",,Ceritanya pas salah satu Presiden kita lawatan ke White House. Bawa keluarganya dong doi. Dijamu ala western. #indomie,2012-12-18T13:59:01.000Z,ceritanya pa salah presiden lawatan white house bawa keluarganya doi dijamu ala western indomie,"The story is that the president visited the White House and brought his family, he was treated to Western Indomie style",neutral
"Liesca Laurent
@LiescaLaurent
·
Dec 11, 2012",,Indomie seleraku! #indomie #indonesia #supper #food #foodism #chili #egg #hot #noodle #foodporn http://instagr.am/p/TGOWWDvxnK/,2012-12-11T13:05:05.000Z,indomie seleraku indomie indonesia supper food foodism chili egg hot noodle foodporn,Indomie my taste Indomie Indonesia supper food foodism chili egg hot noodle foodporn,positive
"Jiewa Vieri
@inijie
·
Dec 18, 2012",,"Tapi memang lidah Endonesya, ada kerabatnya Presiden ga cucok makan Western food. Ngidam makan #indomie !",2012-12-18T14:00:28.000Z,lidah endonesya kerabatnya presiden ga cucok makan western food ngidam makan indomie,"Endonesia's tongue, the president's relative, doesn't like eating western food, he craves Indomie",neutral
"Jiewa Vieri
@inijie
·
Dec 18, 2012",,"Anyway, cerita #indomie helikopter tadi dari salah satu kader partai Presiden yg menjabat saat itu.. :)",2012-12-18T14:11:53.000Z,anyway cerita indomie helikopter salah kader partai presiden yg menjabat,"Anyway, the Indomie helicopter story is one of the party cadres of the incumbent president",neutral
"Jiewa Vieri
@inijie
·
Dec 18, 2012",,"Sewa helikopter di US, pasti mahal lah. 5 digit US. So, jadilah kerabat Presiden itu makan #indomie termahal di dunia..",2012-12-18T14:08:45.000Z,sewa helikopter u mahal 5 digit u so kerabat presiden makan indomie termahal dunia,u helicopter rental is expensive 5 digits u so the president's relatives eat the world's most expensive Indomie,negative
"wahju hardjanti
@sekargambir
·
Nov 1, 2012",,"selamat pagi Indonesia,   mari sarapan ... #indomie",2012-11-01T01:39:18.000Z,selamat pagi indonesia mari sarapan indomie,"Good morning Indonesia, let's have breakfast Indomie",positive
username,handle,content,time,content,content,neutral
"wahju hardjanti
@sekargambir
·
Nov 1, 2012",,"selamat pagi Indonesia,   mari sarapan ... #indomie",2012-11-01T01:39:18.000Z,selamat pagi indonesia mari sarapan indomie,"Good morning Indonesia, let's have breakfast Indomie",positive
"Kasmito
@kopiraja
·
Nov 19, 2012",,"Breakfast #indomie kari, 1/3 bumbu, #telor 2/3 done, daun #bawang putih/merah #scallop #okra #lada #cabe #kopi #bali",2012-11-19T04:07:13.000Z,breakfast indomie kari 1 3 bumbu telor 2 3 done daun bawang putih merah scallop okra lada cabe kopi bali,breakfast indomie curry 1 3 seasoning egg 2 3 done leaves garlic red scallop okra pepper chili Balinese coffee,neutral
"Akmalia Zahra
@azahrra
·
Nov 18, 2012",,"Rainy, #Indomie yummmmmiiii http://instagr.am/p/SKfol8K9_o/",2012-11-18T08:21:51.000Z,rainy indomie yummmmmiiii,rainy indomie yummmmmiiii,neutral
"a shrimp
@nevdinda
·
Nov 13, 2012",,Makanan disaat kedinginan #indomie #mie #rebus #kuah #nya #abis http://instagr.am/p/R9fWhLyHWw/,2012-11-13T07:08:52.000Z,makanan disaat kedinginan indomie mie rebus kuah nya abis,"food when it's cold, indomie, boiled noodles, the soup is gone",negative
"Teddy .N
@TeddyPortnoyRNR
·
Nov 11, 2012",,Pengganjal perut. #Indomie,2012-11-10T19:34:44.000Z,pengganjal perut indomie,Indomie stomach booster,neutral
"Martiana Kartika
@cciicchhaa
·
Nov 13, 2012",,"Alhamdulillah, punya warkop sendiri dikosan #indomie #milopanas",2012-11-13T15:14:48.000Z,alhamdulillah warkop dikosan indomie milopanas,thank God the warkop at the Indomie Milo boarding house is hot,positive
"Sukamoto Journey
@SukamotoJourney
·
Nov 12, 2012",,iklan paling gak jelas.. #Indomie,2012-11-12T14:53:59.000Z,iklan gak indomie,non-Indomie advertising,neutral
"Brando Oloan
@brameasy
·
Oct 21, 2012",,Bahkan yang instant pun perlu proses #indomie,2012-10-21T12:55:39.000Z,instant prose indomie,instant process indomie,neutral
"THE GREAT
@ERRIE_8
·
Nov 20, 2012",,"Superb! RT 
@missciccone
: Masaknya 3 menit, makannya semenit. #Indomie",2012-11-20T14:00:37.000Z,superb rt missciccone masaknya 3 menit makannya semenit indomie,superb rt missciccone cooks in 3 minutes and eats indomie in a minute,positive
" {r} 
@rikimarudin
·
Oct 24, 2012",,#indomie emang juara dah...,2012-10-23T20:55:30.000Z,indomie emang juara dah,Indomie is indeed a champion,neutral
"Zico Fernando
@ZicoFernando
·
Nov 20, 2012",,"pengen sampe rumah, trus masak #indomie rebus kari ayam! gilaaa! sedaaap banget yah!",2012-11-20T09:31:10.000Z,pengen sampe rumah trus masak indomie rebus kari ayam gilaaa sedaaap banget yah,"I want to get home and cook Indomie stew with crazy chicken curry, it's really delicious",negative
"루리 zurryatin
@ruriyaruri
·
Oct 21, 2012",,Malam ini mi lagi #indomie #mie http://instagr.am/p/RC1Ac3BPMj/,2012-10-21T12:22:28.000Z,malam mi indomie mie,Indomie noodle night,neutral
"Pandu Ario
@PanduArioP
·
Oct 29, 2012",,"Kuliah siang ini » RT 
@Subiakto
: Tepat jam 12.00. Tweet ttg kampanye #Indomie thn 1995 saya mulai",2012-10-29T05:28:13.000Z,kuliah siang rt subiakto jam 12 00 tweet ttg kampanye indomie thn 1995,RT Subiakto afternoon lecture at 12 00 tweet about Indomie campaign in 1995,neutral
"PETROLHEAD_29
@mas_adhitya29
·
Nov 20, 2012",,"Pake cinta dong ciee RT 
@AlyntChills
: pake cabe rawit jg RT 
@ZicoFernando
: pengen sampe rumah, trus masak #indomie rebus kari ayam! gilaaa",2012-11-20T10:12:15.000Z,pake cinta ciee rt alyntchills pake cabe rawit jg rt zicofernando pengen sampe rumah trus masak indomie rebus kari ayam gilaaa,use love ciee rt alyntchills use cayenne pepper also rt zicofernando want to get home and cook indomie stew with crazy chicken curry,negative
"Pandu Ario
@PanduArioP
·
Oct 30, 2012",,"*bigApplause RT 
@Subiakto
: Maka mengudaralah iklan  itu selama 10thn melambungkan penjualan #Indomie Sekian. Semoga berkenan",2012-10-30T09:47:41.000Z,bigapplause rt subiakto mengudaralah iklan 10thn melambungkan penjualan indomie sekian semoga berkenan,bigapplause rt subiakto airs 10 year advertisement boosting indomie sales that's all hope you like it,neutral
"Jensen Yermi
@agenm0ssad
·
Oct 31, 2012",,Haa.. coto makassar yang lezat.. #indomie,2012-10-31T14:44:19.000Z,haa coto makassar lezat indomie,Indomie delicious Makassar coto prices,positive
"Jensen Yermi
@agenm0ssad
·
Nov 7, 2012",,Akhirnya makan siang dgn soto banjar. :) #indomie,2012-11-07T05:25:30.000Z,makan siang dgn soto banjar indomie,Lunch with Soto Banjar Indomie,neutral
"Irvan Ferdiansyah
@Snowball4u
·
Nov 9, 2012",,"Hi, diet. Tonight I say “No!” to you... #indomie #rendang @ Jalan Pejompongan Dalam http://instagr.am/p/Rz0vt7Lk5-/",2012-11-09T13:03:07.000Z,hi diet tonight i say no to you indomie rendang jalan pejompongan,hi diet tonight i say no to you indomie rendang Jalan Pejompongan,neutral
"aNNa
@muslimahhasanah
·
Oct 29, 2012",,"Salut hasil karya bapak 
@Subiakto
, iklan 50th #Indomie sangat berkebangsaan dan mengena. Aransemen musik yg tepat menghidupkan liriknya.",2012-10-29T15:36:50.000Z,salut hasil karya subiakto iklan 50th indomie berkebangsaan mengena aransemen musik yg menghidupkan liriknya,salute the work of Subiakto's 50th Indomie national advertisement regarding the musical arrangement that brings the lyrics to life,neutral
"Penyembah Kucing
@arwin_tasik
·
Oct 30, 2012",,"My Fav. lyric :) --> ""Hari ini kita puasa. Menjalankan perintah agama. Buka puasa dgn #Indomie. Indomie seleraku"" 
@Subiakto",2012-10-30T06:14:20.000Z,my fav lyric puasa menjalankan perintah agama buka puasa dgn indomie indomie seleraku subiakto,my fav lyric fasting carrying out religious orders breaking the fast with indomie indomie rasaku subiakto,positive
"きき
@Kikyfany
·
Sep 28, 2012",,"Ke kede mau beli #indomie
:-D",2012-09-28T06:29:13.000Z,kede beli indomie d,Kede buy Indomie d,neutral
"Dwinda Nafisah
@dnafisah
·
Sep 22, 2012",,"Wkt di Arab, #indomie jg ada dimana2. Bahkan indofood ampe buka kantor di Jeddah. Hebat yah.",2012-09-21T19:35:43.000Z,wkt arab indomie jg dimana2 indofood ampe buka kantor jeddah hebat yah,"During Arab Indomie time, Indofood also opened a great Jeddah office",positive
username,handle,content,time,content,content,neutral
"Dwinda Nafisah
@dnafisah
·
Sep 22, 2012",,"Wkt di Arab, #indomie jg ada dimana2. Bahkan indofood ampe buka kantor di Jeddah. Hebat yah.",2012-09-21T19:35:43.000Z,wkt arab indomie jg dimana2 indofood ampe buka kantor jeddah hebat yah,"During Arab Indomie time, Indofood also opened a great Jeddah office",positive
"A N G G A J O E
@Dya5wara
·
Sep 19, 2012",,"Gw udah bantai 2bks2telor #indomie,keunyang..""@hardcelona: *perut mulai bergejolak* saatnya sisiran.""",2012-09-18T17:45:23.000Z,gw udah bantai 2bks2telor indomie keunyang hardcelona perut bergejolak sisiran,I've slaughtered 2bks2 Indomie eggs keunyang hardcelona stomach churning comb,negative
"kpoo keke papi
@Got_IT____
·
Sep 22, 2012",,"lunch #indomie #MinuteMaid #winning cc 
@domsy046
 http://instagr.am/p/P4L1nFIKeL/",2012-09-22T12:39:23.000Z,lunch indomie minutemaid winning cc domsy046,lunch indomie minutemaid winning cc domsy046,positive
"Serdadu
@trifirdhaus
·
Oct 7, 2012",,ujan2 gni wktu nya indomie niih.. indomie spesial telorr :D engg..ingg..eennggg :D #indomie,2012-10-07T09:24:04.000Z,ujan2 gni wktu nya indomie niih indomie spesial telorr d engg ingg eennggg d indomie,"It's raining, it's time for Indomie, Indomie Special Eggs with Indomie",positive
"Yulinny Christina
@tutatop
·
Sep 7, 2012",,Tetep yah yang namanya #indomie itu enak banget apalagi yg rasa kaldu ayam~,2012-09-07T15:25:28.000Z,tetep yah namanya indomie enak banget yg kaldu ayam,"Still, it's called really delicious Indomie with chicken broth",positive
"Dharu Kusuma Hady
@dharukusumahady
·
Sep 15, 2012",,#Indomie seleraku... #AnakRantau,2012-09-14T23:31:09.000Z,indomie seleraku anakrantau,"Indomie, my taste is Anakrantau",neutral
"Iqa Irawan 
@iqalicious
·
Oct 9, 2012",,"Saya laper, mau masak #Indomie Ayam Special pake telur 2 biji (ʃ⌣ƪ)",2012-10-09T14:16:44.000Z,laper masak indomie ayam special pake telur 2 biji,hungry to cook special chicken indomie using 2 eggs,negative
"Annisa Marwah
@Ichamarwah
·
Sep 10, 2012",,"Korban iklan~""@MuhammadFerdly: sudahsudah makan siang dulu sana #indomie""
@Ichamarwah
 Mas tu yg buat bingung-_-""@MuhammadFerdly: mas pun gak",2012-09-10T04:58:00.000Z,korban iklan muhammadferdly sudahsudah makan siang indomie ichamarwah ma tu yg bingung muhammadferdly ma gak,Muhammad Fredly's advertising victim already had lunch,negative
"Dharu Kusuma Hady
@dharukusumahady
·
Oct 2, 2012",,Sarapan pake #Indomie kaldu ayam polos di awal bulan itu sesuatu...,2012-10-02T00:09:13.000Z,sarapan pake indomie kaldu ayam polo,breakfast with Indomie polo chicken broth,negative
"Dharu Kusuma Hady
@dharukusumahady
·
Oct 2, 2012",,"Cuma 5 menit, semangkuk #Indomie ini udah hilang, masuk ke dalam perut saya...",2012-10-02T00:14:02.000Z,5 menit semangkuk indomie udah hilang masuk perut,"5 minutes, the bowl of Indomie had disappeared into my stomach",neutral
"wini nirmala gunawan
@winigunn
·
Oct 6, 2012",,"Baca TLnya 
@fitorio
 , bapak muda (????) yg merasa tertipu dgn iklan #Indomie ... wekekekeh",2012-10-06T09:07:30.000Z,baca tlnya fitorio muda yg tertipu dgn iklan indomie wekekekeh,"read the story of young Fitorio who was fooled by an Indomie advert, wekekekeh",positive
"Dharu Kusuma Hady
@dharukusumahady
·
Sep 15, 2012",,Sarapan buat hari ini #Indomie rasa kaldu ayam aja deh... #ItsCookingTime,2012-09-14T23:16:27.000Z,sarapan indomie kaldu ayam aja deh itscookingtime,"Just have Indomie chicken broth for breakfast, its cooking time",negative
"Dharu Kusuma Hady
@dharukusumahady
·
Sep 16, 2012",,Ternyata saos pun malem (or pagi?) ini penghabisan... T_T #Indomie #ItsCookingTime,2012-09-15T17:38:26.000Z,saos malem or pagi penghabisan t t indomie itscookingtime,sauce at night or last morning t t indomie its cooking time,neutral
"Dharu Kusuma Hady
@dharukusumahady
·
Sep 16, 2012",,Telor ayam terakhir yang gw punya pun nyemplung ke dalem pan... #Indomie #ItsCookingTime,2012-09-15T17:34:53.000Z,telor ayam gw nyemplung dalem pan indomie itscookingtime,"My chicken egg was thrown into the Indomie pan, its cooking time",negative
"Larasati Fink
@larasatifink
·
Sep 25, 2012",,"Hidup tnpa cinta,bagaikan mkn #indomie ga pake bumbu. Anyeppp mennnn",2012-09-24T18:57:12.000Z,hidup tnpa cinta mkn indomie ga pake bumbu anyeppp mennnn,life without love eat indomie without any spices nnnn,positive
"Dharu Kusuma Hady
@dharukusumahady
·
Sep 16, 2012",,"Dan karna lapar melanda, terpaksa deh masak #Indomie Rasa Ayam Spesial buat pengganjal perut sebelum tidur... #ItsCookingTime",2012-09-15T17:31:44.000Z,karna lapar melanda terpaksa deh masak indomie ayam spesial pengganjal perut tidur itscookingtime,"Because I was hungry, I had to cook a special Chicken Indomie to boost my stomach, itscookingtime",negative
"Larasati Fink
@larasatifink
·
Sep 16, 2012",,"Andai #indomie dijadiin Hobi, pelakunya kebanyakan adalah anak rantau & anak kost *larasTeguh*",2012-09-15T18:19:45.000Z,andai indomie dijadiin hobi pelakunya kebanyakan anak rantau anak kost larasteguh,"If Indomie was a hobby, most of the perpetrators would be local children from the Larasteguh boarding house",positive
"Larasati Fink
@larasatifink
·
Sep 16, 2012",,"Terimakasih kpd yg nyiptain #indomie, wlpn bnyk mecin & bikin bego tp enaknyaaa kl dimakan, apalagi cuaca dingin gini",2012-09-15T18:15:48.000Z,terimakasih kpd yg nyiptain indomie wlpn bnyk mecin bikin bego tp enaknyaaa kl dimakan cuaca dingin gini,"Thank you to those who created Indomie WLPN. It's a lot of food, but it's delicious when eaten in this cold weather.",positive
"andahoy
@asvinyulanda
·
Sep 11, 2012",,Bikin sendiri sama dibikinin rasanya beda #misteri #indomie,2012-09-10T17:28:29.000Z,bikin dibikinin beda misteri indomie,make a different Indomie mystery,neutral
"Tony Ogolla, PhD
@tonyopot
·
Aug 22, 2012",,RT @iRic_anjeyo316: mtu anakuinvite supper #Indomie na #Sossi.. asante.. Hehehee,2012-08-21T17:45:54.000Z,rt iric anjeyo316 mtu anakuinvite supper indomie na sossi asante hehehee,rt iric anjeyo316 mtu anakuinvite supper indomie na sossi asante hehehee,neutral
"Ajani Sabila Arum
@janjanjaniii
·
Aug 28, 2012",,yumm!! #indomie goreng keju.. #cheeselovers http://instagr.am/p/O1qfQZKEff/,2012-08-27T16:38:03.000Z,yumm indomie goreng keju cheeselovers,yumm fried indomie cheese cheeselovers,neutral
"EkasariDimbarokke
@ESDimbarokke
·
Aug 27, 2012",,"Mie slalu jd makanan faforit!!
#indomie",2012-08-27T10:34:47.000Z,mie slalu jd makanan faforit indomie,Noodles have always been Indomie's favorite food,positive
"Diayu Refina S.
@diayusembiring
·
Aug 5, 2012",,#NAME?,2012-08-05T11:23:54.000Z,name,name,neutral
username,handle,content,time,content,content,neutral
"Larasati Fink
@larasatifink
·
Sep 16, 2012",,"Andai #indomie dijadiin Hobi, pelakunya kebanyakan adalah anak rantau & anak kost *larasTeguh*",2012-09-15T18:19:45.000Z,andai indomie dijadiin hobi pelakunya kebanyakan anak rantau anak kost larasteguh,"If Indomie was a hobby, most of the perpetrators would be local children from the Larasteguh boarding house",positive
"Larasati Fink
@larasatifink
·
Sep 16, 2012",,"Terimakasih kpd yg nyiptain #indomie, wlpn bnyk mecin & bikin bego tp enaknyaaa kl dimakan, apalagi cuaca dingin gini",2012-09-15T18:15:48.000Z,terimakasih kpd yg nyiptain indomie wlpn bnyk mecin bikin bego tp enaknyaaa kl dimakan cuaca dingin gini,"Thank you to those who created Indomie WLPN. It's a lot of food, but it's delicious when eaten in this cold weather.",positive
"andahoy
@asvinyulanda
·
Sep 11, 2012",,Bikin sendiri sama dibikinin rasanya beda #misteri #indomie,2012-09-10T17:28:29.000Z,bikin dibikinin beda misteri indomie,make a different Indomie mystery,neutral
